Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP	47781704.0	202.0	44713779.0	93.58	200.98	27919967.0	27541726.0	27644040.0	230757.0	28358.0	16812.0	0.18	0.01	1.5	0.0	1.24	1773939.0	3.71	68804.0	0.14	0.0	2.48	0.09	0	1182277	42905
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP	52943903.0	202.0	49606534.0	93.7	200.93	31964123.0	31528155.0	31661016.0	254056.0	30046.0	19005.0	0.18	0.01	1.5	0.0	1.24	1848023.0	3.49	76514.0	0.14	0.0	2.57	0.09	0	1365029	47803
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC	48528258.0	202.0	45320459.0	93.39	200.93	27720634.0	27325109.0	27446564.0	228448.0	26681.0	18941.0	0.18	0.01	1.51	0.0	1.24	1814734.0	3.74	74726.0	0.15	0.0	2.63	0.09	0	1274717	43622
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP	47441220.0	202.0	44340179.0	93.46	200.95	27883638.0	27503168.0	27613833.0	226975.0	26800.0	16030.0	0.19	0.01	1.5	0.0	1.24	1769203.0	3.73	66838.0	0.14	0.0	2.58	0.09	0	1222360	42640
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP	44952861.0	202.0	42119466.0	93.7	201.02	25761682.0	25406161.0	25508543.0	211379.0	26206.0	15554.0	0.2	0.01	1.51	0.0	1.24	1687969.0	3.75	60853.0	0.14	0.0	2.32	0.09	0	1044070	40503
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC	64605195.0	202.0	60379631.0	93.46	201.09	35494458.0	34991965.0	35141257.0	298045.0	33235.0	21921.0	0.19	0.01	1.5	0.0	1.23	2614380.0	4.05	96520.0	0.15	0.0	2.25	0.1	0	1450210	64454
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP	57264239.0	202.0	53814703.0	93.98	201.07	32645640.0	32186803.0	32324138.0	269910.0	32448.0	19144.0	0.19	0.01	1.5	0.0	1.24	2060231.0	3.6	80329.0	0.14	0.0	2.19	0.1	0	1251815	57161
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP	67059738.0	202.0	63086774.0	94.08	201.1	37349883.0	36815232.0	36985798.0	303019.0	37181.0	23885.0	0.19	0.01	1.51	0.0	1.25	2431683.0	3.63	92222.0	0.14	0.0	2.05	0.11	0	1375264	73795
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC	56079480.0	202.0	52138789.0	92.97	200.92	31371250.0	30924304.0	31066648.0	255450.0	28484.0	20668.0	0.19	0.01	1.51	0.0	1.24	2254800.0	4.02	81740.0	0.15	0.0	2.77	0.09	0	1553671	50480
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC	35836501.0	202.0	33310237.0	92.95	200.84	20095533.0	19804068.0	19898437.0	163959.0	19509.0	13628.0	0.19	0.01	1.54	0.0	1.26	1436556.0	4.01	56070.0	0.16	0.0	2.8	0.09	0	1001449	32189
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP	53572942.0	202.0	49925823.0	93.19	200.89	31350338.0	30923161.0	31041377.0	259777.0	30798.0	18386.0	0.19	0.01	1.5	0.0	1.24	2038428.0	3.8	78671.0	0.15	0.0	2.77	0.08	0	1487072	42948
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP	54579559.0	202.0	51084306.0	93.6	200.96	32312101.0	31873478.0	31996722.0	264559.0	32224.0	18596.0	0.19	0.01	1.5	0.0	1.25	1949130.0	3.57	75596.0	0.14	0.0	2.61	0.08	0	1426794	43733
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC	39651167.0	202.0	37067060.0	93.48	200.99	22367962.0	22041258.0	22146321.0	186127.0	21297.0	14217.0	0.19	0.01	1.5	0.0	1.24	1535185.0	3.87	64199.0	0.16	0.0	2.38	0.1	0	945016	39707
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP	35966945.0	202.0	33700544.0	93.7	200.98	21913045.0	21622403.0	21695376.0	183298.0	21889.0	12482.0	0.19	0.01	1.51	0.0	1.25	1328962.0	3.69	51641.0	0.14	0.0	2.39	0.07	0	860592	25206
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP	42274003.0	202.0	39578127.0	93.62	200.96	23528854.0	23182602.0	23299670.0	191059.0	22836.0	15289.0	0.19	0.01	1.5	0.0	1.25	1531016.0	3.62	59191.0	0.14	0.0	2.51	0.1	0	1063306	42363
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC	46018514.0	202.0	43017356.0	93.48	200.95	25713130.0	25340184.0	25461274.0	210315.0	24228.0	17313.0	0.19	0.01	1.51	0.0	1.24	1725290.0	3.75	71399.0	0.16	0.0	2.53	0.09	0	1163094	41375
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP	60010642.0	202.0	56105525.0	93.49	200.94	34840107.0	34352249.0	34497531.0	286972.0	34572.0	21032.0	0.2	0.01	1.48	0.0	1.26	2183135.0	3.64	88790.0	0.15	0.0	2.63	0.09	0	1579153	54039
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP	53084388.0	202.0	49712692.0	93.65	200.95	30585251.0	30154086.0	30286782.0	248895.0	30436.0	19138.0	0.19	0.01	1.5	0.0	1.24	1848551.0	3.48	78039.0	0.15	0.0	2.62	0.1	0	1391977	53129
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP	35048824.0	202.0	32861212.0	93.76	201.0	19466657.0	19184460.0	19274556.0	160449.0	19058.0	12594.0	0.2	0.01	1.5	0.0	1.23	1294263.0	3.69	48488.0	0.14	0.0	2.31	0.1	0	809805	35056
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC	30107510.0	202.0	28083382.0	93.28	200.94	16658611.0	16421157.0	16492490.0	139418.0	15779.0	10924.0	0.18	0.01	1.49	0.0	1.24	1198275.0	3.98	48864.0	0.16	0.0	2.48	0.1	0	746873	30116
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP	47563263.0	202.0	44482767.0	93.52	200.93	27986151.0	27604305.0	27710305.0	230855.0	28045.0	16946.0	0.18	0.01	1.51	0.0	1.24	1756936.0	3.69	67656.0	0.14	0.0	2.56	0.08	0	1217846	38058
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP	30528345.0	202.0	28616862.0	93.74	200.95	17017779.0	16762411.0	16848886.0	141344.0	16670.0	10879.0	0.18	0.01	1.5	0.0	1.23	1071594.0	3.51	43941.0	0.14	0.0	2.5	0.1	0	765335	30613
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC	36616291.0	202.0	34074653.0	93.06	200.91	20952791.0	20654994.0	20741301.0	177792.0	19833.0	13865.0	0.19	0.01	1.52	0.0	1.24	1486669.0	4.06	58975.0	0.16	0.0	2.63	0.09	0	963038	32956
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP	28622491.0	202.0	26778213.0	93.56	200.97	17217459.0	16980830.0	17047844.0	142478.0	16870.0	10267.0	0.18	0.01	1.51	0.0	1.25	1067210.0	3.73	43697.0	0.15	0.0	2.48	0.08	0	710453	22918
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP	45962658.0	202.0	43166959.0	93.92	201.06	25884034.0	25517299.0	25630766.0	211098.0	25614.0	16556.0	0.19	0.01	1.49	0.0	1.23	1713127.0	3.73	63544.0	0.14	0.0	2.12	0.1	0	973126	45902
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC	29959481.0	202.0	28076544.0	93.72	201.02	17311687.0	17064411.0	17139502.0	144942.0	15770.0	11473.0	0.19	0.01	1.52	0.0	1.24	1121671.0	3.74	46250.0	0.15	0.0	2.3	0.09	0	688091	26925
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP	29511736.0	202.0	27624315.0	93.6	200.95	17562100.0	17322750.0	17388633.0	145642.0	17301.0	10524.0	0.19	0.01	1.5	0.0	1.24	1066679.0	3.61	43756.0	0.15	0.0	2.55	0.09	0	750498	26488
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP	34740834.0	202.0	32585809.0	93.8	200.96	19874337.0	19594439.0	19677072.0	165036.0	19975.0	12254.0	0.19	0.01	1.5	0.0	1.24	1197141.0	3.45	48809.0	0.14	0.0	2.53	0.09	0	877847	31228
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP	54436095.0	202.0	50974960.0	93.64	200.93	31083019.0	30637435.0	30781768.0	251949.0	29943.0	19359.0	0.18	0.01	1.5	0.0	1.23	1937781.0	3.56	79603.0	0.15	0.0	2.55	0.11	0	1384047	59704
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC	32210571.0	202.0	30067714.0	93.35	200.94	18173694.0	17915682.0	17993948.0	149883.0	17461.0	12402.0	0.19	0.01	1.5	0.0	1.26	1257046.0	3.9	48541.0	0.15	0.0	2.51	0.09	0	808288	28982
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP	27138417.0	202.0	25415376.0	93.65	201.04	16397080.0	16177853.0	16233725.0	137563.0	16627.0	9165.0	0.18	0.01	1.5	0.0	1.24	1058370.0	3.9	39438.0	0.15	0.0	2.23	0.08	0	603580	21653
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP	26178206.0	202.0	24404305.0	93.22	200.89	15117711.0	14905382.0	14970417.0	123293.0	14807.0	9194.0	0.21	0.01	1.49	0.0	1.23	967614.0	3.7	36976.0	0.14	0.0	2.85	0.09	0	745761	23550
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC	43734661.0	202.0	41037466.0	93.83	201.04	25083786.0	24722456.0	24835055.0	208239.0	23907.0	16585.0	0.2	0.01	1.51	0.0	1.24	1604931.0	3.67	68617.0	0.16	0.0	2.25	0.09	0	984276	39371
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP	29107394.0	202.0	27217863.0	93.51	200.96	16974610.0	16738433.0	16806304.0	141239.0	16694.0	10373.0	0.19	0.01	1.49	0.0	1.24	1085307.0	3.73	42336.0	0.15	0.0	2.53	0.09	0	735716	26172
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP	38509207.0	202.0	36192122.0	93.98	201.01	22898076.0	22581783.0	22673432.0	188099.0	23004.0	13541.0	0.18	0.01	1.5	0.0	1.25	1341059.0	3.48	54723.0	0.14	0.0	2.31	0.08	0	890464	30839
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC	25914753.0	202.0	24229340.0	93.5	200.97	14656565.0	14441835.0	14510369.0	122890.0	13737.0	9569.0	0.19	0.01	1.5	0.0	1.24	968798.0	3.74	42821.0	0.17	0.0	2.5	0.1	0	647879	25915
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC	29481268.0	202.0	27568644.0	93.51	200.96	16803286.0	16562982.0	16638214.0	138263.0	15732.0	11077.0	0.18	0.01	1.52	0.0	1.25	1108440.0	3.76	46096.0	0.16	0.0	2.48	0.09	0	731540	26548
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP	37371670.0	202.0	34954417.0	93.53	200.96	21311702.0	21017293.0	21102843.0	174538.0	21244.0	13077.0	0.2	0.01	1.5	0.0	1.24	1396514.0	3.74	53615.0	0.14	0.0	2.49	0.09	0	933387	33737
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	57966911.0	202.0	54322855.0	93.71	201.01	32751748.0	32282656.0	32427535.0	270276.0	33040.0	20897.0	0.18	0.01	1.5	0.0	1.23	2110272.0	3.64	79692.0	0.14	0.0	2.41	0.1	0	1396160	57932
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC	35465276.0	202.0	33167186.0	93.52	200.99	20617586.0	20324897.0	20413279.0	171242.0	19299.0	13766.0	0.18	0.01	1.5	0.0	1.25	1324977.0	3.74	55963.0	0.16	0.0	2.5	0.09	0	885280	31870
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP	35304070.0	202.0	32914029.0	93.23	200.96	21250329.0	20971283.0	21041313.0	175134.0	21305.0	12577.0	0.19	0.01	1.49	0.0	1.23	1407805.0	3.99	49363.0	0.14	0.0	2.57	0.07	0	908138	24735
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP	29499590.0	202.0	27658960.0	93.76	201.0	17295210.0	17054441.0	17125221.0	142185.0	17294.0	10510.0	0.21	0.01	1.51	0.0	1.24	1031607.0	3.5	42211.0	0.14	0.0	2.51	0.09	0	740269	26543
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC	25798669.0	202.0	24228370.0	93.91	201.06	14967873.0	14756134.0	14818244.0	125414.0	14604.0	9611.0	0.18	0.01	1.49	0.0	1.24	962182.0	3.73	39256.0	0.15	0.0	2.12	0.09	0	545695	23166
