Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP	Unknown Library	0.0	46487718.0	4825030.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP	Unknown Library	0.0	51454557.0	5126648.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC	Unknown Library	0.0	47135193.0	4954850.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP	Unknown Library	0.0	46109382.0	4814450.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP	Unknown Library	0.0	43807435.0	4561568.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC	Unknown Library	0.0	62994011.0	6999164.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP	Unknown Library	0.0	55874934.0	5578722.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC	Unknown Library	0.0	34746793.0	3859360.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP	Unknown Library	0.0	51964251.0	5561564.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP	Unknown Library	0.0	53033436.0	5355380.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC	Unknown Library	0.0	38602245.0	4191832.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP	Unknown Library	0.0	35029506.0	3626712.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP	Unknown Library	0.0	41109143.0	4151810.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC	Unknown Library	0.0	44742646.0	4725882.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP	Unknown Library	0.0	58288660.0	6007688.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP	Unknown Library	0.0	51561243.0	5120144.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP	Unknown Library	0.0	34155475.0	3529670.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC	Unknown Library	0.0	29281657.0	3267876.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP	Unknown Library	0.0	46239703.0	4786274.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP	Unknown Library	0.0	29688456.0	2982018.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC	Unknown Library	0.0	35561322.0	4013798.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP	Unknown Library	0.0	27845423.0	2917572.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP	Unknown Library	0.0	44880086.0	4625248.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC	Unknown Library	0.0	29198215.0	3067958.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP	Unknown Library	0.0	28690994.0	2926148.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP	Unknown Library	0.0	33782950.0	3291388.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP	Unknown Library	0.0	52912741.0	5388338.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC	Unknown Library	0.0	31324760.0	3392674.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP	Unknown Library	0.0	26473746.0	2840258.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP	Unknown Library	0.0	25371919.0	2634784.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP	Unknown Library	0.0	28303170.0	2988972.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC	Unknown Library	0.0	25198138.0	2672608.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC	Unknown Library	0.0	28677084.0	3030546.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	Unknown Library	0.0	56433127.0	5821624.0	0.0	0.0	0.0	0.0	0.0	
