Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1223_4_i1	1223_4_i1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	220832685.0	0.0	8.0	68.0	0.03429157237299361	8.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
1223_4_i2	1223_4_i2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	220832685.0	0.0	8.0	46.0	0.034228175960456214	8.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47781704.0	0.0	101.0	51.0	43.007396282932056	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47781704.0	0.0	101.0	52.0	39.966616404417806	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R1	NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52943903.0	0.0	101.0	52.0	41.97712644374538	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2	NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52943903.0	0.0	101.0	52.0	39.283833083374546	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R1	NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48528258.0	0.0	101.0	51.0	42.798977099819815	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2	NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48528258.0	0.0	101.0	52.0	39.29986843214648	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R1	NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47441220.0	0.0	101.0	51.0	43.87415317239148	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2	NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47441220.0	0.0	101.0	51.0	41.26998703881706	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R1	NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44952861.0	0.0	101.0	51.0	43.73111044522679	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2	NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44952861.0	0.0	101.0	51.0	41.983303959385935	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R1	NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64605195.0	0.0	101.0	50.0	42.137018736378764	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2	NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64605195.0	0.0	101.0	50.0	39.18129311330842	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R1	NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57264239.0	0.0	101.0	51.0	42.0898764456768	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2	NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57264239.0	0.0	101.0	51.0	39.57190012199302	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R1	NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67059738.0	0.0	101.0	51.0	41.131645920452534	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2	NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67059738.0	0.0	101.0	51.0	38.636081697972685	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R1	NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56079480.0	0.0	101.0	51.0	42.81006519233473	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2	NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56079480.0	0.0	101.0	51.0	40.17386623478254	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
