Sample	bp_processed	quality_trimmed	bp_written	percent_trimmed
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2	9651904208	4942872	9600172349	0.5359756778058566
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2	10694668406	5274310	10630017355	0.6045166483490877
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2	9802708116	5020258	9746626648	0.5721017838781073
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP_R2	9583126440	4967088	9529995523	0.5544215380299209
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP_R2	9080477922	4997623	9036128630	0.4884026191237294
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2	13050249390	7088867	12989836248	0.46292710732633746
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2	11567376278	5928533	11515122657	0.4517326984458973
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2	13546067076	6950422	13488302647	0.4264295213947603
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC_R2	11328054960	6100013	11262074841	0.5824487896022708
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2	7238973202	3867977	7194132526	0.6194342035637225
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2	10821734284	5661436	10756405309	0.6036830445614367
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2	11025070918	6090606	10965740605	0.5381399670013443
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2	8009535734	4167490	7968237575	0.5156123946696659
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2	7265322890	3606715	7226615796	0.5327649518960333
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2	8539348606	4635437	8493033644	0.5423711355156262
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2	9295739828	4938771	9243899693	0.5576762684757016
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2	12122149684	6536516	12054850028	0.5551792194814149
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2	10723046376	5662053	10664136040	0.5493805951623164
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2	7079862448	3898822	7045963496	0.47880805946415195
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2	6081717020	3082818	6047501113	0.5626027466828767
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2	9607779126	4868953	9553512586	0.5648187712095412
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2	6166725690	3212883	6132657684	0.5524488636691736
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2	7396490782	3963007	7353753899	0.577799449219945
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2	5781743182	2876492	5749737188	0.5535699700333041
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2	9284456916	4793307	9241160086	0.46633670005389466
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2	6051815162	3088045	6021887258	0.4945277276133702
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2	5961370672	3128227	5927967414	0.5603284854755296
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2	7017648468	3677620	6979201689	0.5478584339941606
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2	10996091190	5501176	10932850251	0.5751219947822205
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2	6506535342	3674873	6472770392	0.5189390086309932
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2	5481960234	2780962	5455213378	0.4879067862278842
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2	5287997612	2943598	5255873556	0.6074899868922256
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2	8834401522	4735627	8793771847	0.45990297021050436
