	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2 - First read: Adapter 1	1003450	266288	136040	93087	76853	80955	70950	63077	58769	55706	47880	48537	42826	39778	38559	34292	25335	26040	24443	20473	20808	18094	16619	13990	14109	12281	11031	10009	7649	8356	6553	6405	6055	4747	5113	4619	4189	3481	3402	3507	3270	2021	3975	190	618	1721	1329	1023	1208	1037	858	785	1002	640	644	743	699	222	149	511	187	209	143	327	177	229	36	25	8	39	78	76	69	79	64	61	92	85	99	78	104	125	111	136	154	166	177	139	216	318	169	251	265	313	398	481	211	498	12220
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2 - Second read: Adapter 2	1230421	292019	148229	97408	81814	91782	56690	70392	53531	56305	52392	54115	38860	37210	50155	18993	38890	20758	17992	21182	19901	21250	18552	13616	12372	14411	8404	12884	5877	9508	6502	6557	28426	7640	689	1141	1779	124	1434	2276	536	1293	684	433	137	175	363	29	104	44	364	618	216	468	540	232	248	511	204	81	222	181	68	48	24	40	17	23	18	13	19	14	11	9	5	13	30	42	60	59	78	92	93	111	134	141	166	129	201	297	163	231	244	299	368	459	171	205	3932
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2 - First read: Adapter 1	1111522	305053	161824	112858	93951	100651	87436	77490	73576	68855	58706	60426	53593	49742	49219	42896	32832	32774	30792	26222	28159	22587	22032	18189	18779	18774	11969	13321	10325	11503	8528	8594	8361	7105	7015	5918	5762	5591	4433	4983	4396	3989	8196	290	1495	3126	2363	849	2203	1457	750	1075	1588	890	539	479	664	87	106	606	103	128	186	297	85	170	65	32	3	37	76	93	82	76	64	63	71	69	74	74	74	86	102	97	122	115	132	152	179	234	127	154	240	234	335	384	229	868	21678
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2 - Second read: Adapter 2	1369816	329307	174444	117419	97186	109574	75859	85201	68076	69870	63761	64668	45745	50552	52664	32289	37463	38026	25639	26988	25965	24378	24116	17678	19958	16656	12853	12755	11964	9413	13154	7810	8492	7176	12790	4691	5123	5234	2663	4325	2743	4014	3847	3478	3613	653	1838	174	529	325	1339	1545	244	1003	1395	302	129	891	156	103	618	97	65	101	33	89	82	119	45	70	77	52	43	13	24	34	52	58	59	61	61	73	80	79	114	106	118	146	172	217	121	154	223	222	310	378	193	263	6557
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2 - First read: Adapter 1	1023438	278665	146444	102467	83286	90477	76562	70770	65166	60979	53283	52536	48409	42844	42896	36739	29626	28963	26813	22865	22613	20557	18492	15428	15711	13462	12329	10877	8833	9120	7405	7624	5695	6008	5429	4983	4203	3904	3327	3238	3314	2409	4213	244	1179	1722	1588	1090	1251	1114	845	818	1162	758	640	686	684	170	207	502	150	158	140	280	140	201	58	39	5	30	71	89	96	101	110	95	115	109	121	140	160	176	200	223	205	250	250	274	304	482	241	336	372	416	545	670	242	574	15395
