	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2 - First read: Adapter 1	1.344045874765651	1.4266908763212756	2.9154468966049314	7.97968368265398	26.352009326567	111.03415169386915	389.19363686231486	1383.267543859649	5155.175438596491	19895.0	68400.0	242685.0	42826.0	39778.0	38559.0	34292.0	25335.0	26040.0	24443.0	20473.0	20808.0	18094.0	16619.0	13990.0	14109.0	12281.0	11031.0	10009.0	7649.0	8356.0	6553.0	6405.0	6055.0	4747.0	5113.0	4619.0	4189.0	3481.0	3402.0	3507.0	3270.0	2021.0	3975.0	190.0	618.0	1721.0	1329.0	1023.0	1208.0	1037.0	858.0	785.0	1002.0	640.0	644.0	743.0	699.0	222.0	149.0	511.0	187.0	209.0	143.0	327.0	177.0	229.0	36.0	25.0	8.0	39.0	78.0	76.0	69.0	79.0	64.0	61.0	92.0	85.0	99.0	78.0	104.0	125.0	111.0	136.0	154.0	166.0	177.0	139.0	216.0	318.0	169.0	251.0	265.0	313.0	398.0	481.0	211.0	498.0	12220.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP_R2 - Second read: Adapter 2	1.6480564744382151	1.5645498220440373	3.176666995272364	8.35009215207235	28.053079138664106	125.88396653408311	310.97092704333517	1543.6842105263158	4695.701754385965	20108.928571428572	74845.71428571429	270575.0	38860.0	37210.0	50155.0	18993.0	38890.0	20758.0	17992.0	21182.0	19901.0	21250.0	18552.0	13616.0	12372.0	14411.0	8404.0	12884.0	5877.0	9508.0	6502.0	6557.0	28426.0	7640.0	689.0	1141.0	1779.0	124.0	1434.0	2276.0	536.0	1293.0	684.0	433.0	137.0	175.0	363.0	29.0	104.0	44.0	364.0	618.0	216.0	468.0	540.0	232.0	248.0	511.0	204.0	81.0	222.0	181.0	68.0	48.0	24.0	40.0	17.0	23.0	18.0	13.0	19.0	14.0	11.0	9.0	5.0	13.0	30.0	42.0	60.0	59.0	78.0	92.0	93.0	111.0	134.0	141.0	166.0	129.0	201.0	297.0	163.0	231.0	244.0	299.0	368.0	459.0	171.0	205.0	3932.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2 - First read: Adapter 1	1.3436373713581833	1.4750249139194467	3.129876409492679	8.731219731080476	29.074394999071608	124.5834880554524	432.8514851485148	1534.4554455445545	5839.3650793650795	21517.1875	73382.5	302130.0	53593.0	49742.0	49219.0	42896.0	32832.0	32774.0	30792.0	26222.0	28159.0	22587.0	22032.0	18189.0	18779.0	18774.0	11969.0	13321.0	10325.0	11503.0	8528.0	8594.0	8361.0	7105.0	7015.0	5918.0	5762.0	5591.0	4433.0	4983.0	4396.0	3989.0	8196.0	290.0	1495.0	3126.0	2363.0	849.0	2203.0	1457.0	750.0	1075.0	1588.0	890.0	539.0	479.0	664.0	87.0	106.0	606.0	103.0	128.0	186.0	297.0	85.0	170.0	65.0	32.0	3.0	37.0	76.0	93.0	82.0	76.0	64.0	63.0	71.0	69.0	74.0	74.0	74.0	86.0	102.0	97.0	122.0	115.0	132.0	152.0	179.0	234.0	127.0	154.0	240.0	234.0	335.0	384.0	229.0	868.0	21678.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP_R2 - Second read: Adapter 2	1.655870031798184	1.5923004505055556	3.3739628261416166	9.084079902211082	30.07550906727734	135.62817180344103	375.53960396039605	1687.148514851485	5402.857142857143	21834.375	79701.25	323340.0	45745.0	50552.0	52664.0	32289.0	37463.0	38026.0	25639.0	26988.0	25965.0	24378.0	24116.0	17678.0	19958.0	16656.0	12853.0	12755.0	11964.0	9413.0	13154.0	7810.0	8492.0	7176.0	12790.0	4691.0	5123.0	5234.0	2663.0	4325.0	2743.0	4014.0	3847.0	3478.0	3613.0	653.0	1838.0	174.0	529.0	325.0	1339.0	1545.0	244.0	1003.0	1395.0	302.0	129.0	891.0	156.0	103.0	618.0	97.0	65.0	101.0	33.0	89.0	82.0	119.0	45.0	70.0	77.0	52.0	43.0	13.0	24.0	34.0	52.0	58.0	59.0	61.0	61.0	73.0	80.0	79.0	114.0	106.0	118.0	146.0	172.0	217.0	121.0	154.0	223.0	222.0	310.0	378.0	193.0	263.0	6557.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC_R2 - First read: Adapter 1	1.3497297739279976	1.4700351069694324	3.090129117615407	8.648682866716745	28.119112731692493	122.18365968939905	413.6250675310643	1528.5097192224623	5617.758620689655	21027.241379310344	76118.57142857143	262680.0	48409.0	42844.0	42896.0	36739.0	29626.0	28963.0	26813.0	22865.0	22613.0	20557.0	18492.0	15428.0	15711.0	13462.0	12329.0	10877.0	8833.0	9120.0	7405.0	7624.0	5695.0	6008.0	5429.0	4983.0	4203.0	3904.0	3327.0	3238.0	3314.0	2409.0	4213.0	244.0	1179.0	1722.0	1588.0	1090.0	1251.0	1114.0	845.0	818.0	1162.0	758.0	640.0	686.0	684.0	170.0	207.0	502.0	150.0	158.0	140.0	280.0	140.0	201.0	58.0	39.0	5.0	30.0	71.0	89.0	96.0	101.0	110.0	95.0	115.0	109.0	121.0	140.0	160.0	176.0	200.0	223.0	205.0	250.0	250.0	274.0	304.0	482.0	241.0	336.0	372.0	416.0	545.0	670.0	242.0	574.0	15395.0
