Sample	Read Pair Unique	Read Pair Not Optical Duplicates	Read Pair Optical Duplicates
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP	36866182.0	9156099.0	465437.0
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIPest_lib_complex_metrics	38022402.0	8330228.0	451027.0
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP	38961756.0	11822343.0	670458.0
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIPest_lib_complex_metrics	40376233.0	10874788.0	650925.0
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC	37487091.0	9173590.0	474512.0
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACCest_lib_complex_metrics	38692070.0	8364242.0	460847.0
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP	36586111.0	9044429.0	478842.0
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIPest_lib_complex_metrics	37727247.0	8239596.0	463240.0
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP	35109427.0	8234086.0	463922.0
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIPest_lib_complex_metrics	36070075.0	7466896.0	446879.0
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC	50529699.0	11858522.0	605790.0
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACCest_lib_complex_metrics	51906526.0	10651828.0	583320.0
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP	44755205.0	10599959.0	519770.0
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIPest_lib_complex_metrics	46017517.0	9567486.0	501485.0
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP	52236371.0	12604439.0	677647.0
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIPest_lib_complex_metrics	53731063.0	11364467.0	654546.0
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC	42437166.0	11384575.0	571848.0
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACCest_lib_complex_metrics	43872004.0	10367163.0	553223.0
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC	27500611.0	6824837.0	421345.0
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACCest_lib_complex_metrics	28382008.0	6268031.0	408030.0
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP	40963024.0	10482396.0	518831.0
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIPest_lib_complex_metrics	42416507.0	9512815.0	503284.0
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP	41367906.0	11095436.0	570094.0
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIPest_lib_complex_metrics	42777599.0	10034615.0	550842.0
