Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
NS.1223.004.NEBNext_dual_i7_A1---NEBNext_dual_i5_A1.03_32_vHIP	47377723.0	200.0	44666992.0	94.28	199.78	28027151.0	27812261.0	27754667.0	229406.0	29112.0	13966.0	0.15	0.01	1.49	0.0	1.22	2248475.0	4.75	88288.0	0.19	0.0	0.7	0.09	0	331364	42604
NS.1223.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.17_32_dHIP	52525360.0	200.0	49683661.0	94.59	199.67	32109957.0	31861013.0	31811478.0	252139.0	31093.0	15247.0	0.15	0.01	1.49	0.0	1.2	2350237.0	4.47	102207.0	0.19	0.0	0.64	0.1	0	336653	52602
NS.1223.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.07_26_ACC	48141682.0	200.0	45254719.0	94.0	199.7	27860738.0	27635300.0	27592551.0	227020.0	27610.0	13557.0	0.14	0.01	1.5	0.0	1.22	2378614.0	4.94	97870.0	0.2	0.0	0.76	0.09	0	367017	43462
NS.1223.004.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.10_35_vHIP	47019143.0	200.0	44312242.0	94.24	199.73	27992078.0	27772763.0	27725609.0	225714.0	27631.0	13124.0	0.15	0.01	1.49	0.0	1.21	2226587.0	4.74	86995.0	0.19	0.0	0.74	0.09	0	350670	42649
NS.1223.004.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.08_31_dHIP	44533814.0	200.0	41997328.0	94.3	199.84	25805983.0	25604753.0	25556891.0	209758.0	26938.0	12396.0	0.16	0.01	1.5	0.0	1.21	2091136.0	4.7	79316.0	0.18	0.0	0.72	0.1	0	321396	44638
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC	63969752.0	200.0	59960977.0	93.73	199.96	35527962.0	35236242.0	35183114.0	294798.0	34252.0	15798.0	0.16	0.01	1.49	0.0	1.21	3346915.0	5.23	127733.0	0.2	0.0	0.73	0.1	0	469774	64353
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP	56761331.0	200.0	53553337.0	94.35	199.94	32706590.0	32444515.0	32389563.0	267825.0	33483.0	15719.0	0.15	0.01	1.49	0.0	1.21	2668490.0	4.7	101722.0	0.18	0.0	0.67	0.1	0	380927	56855
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP	66541113.0	200.0	62805211.0	94.39	199.99	37412303.0	37108470.0	37054522.0	300712.0	38274.0	18795.0	0.15	0.01	1.5	0.0	1.22	3101067.0	4.66	118481.0	0.18	0.0	0.66	0.11	0	442589	73765
NS.1223.004.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.01_09_ACC	55555656.0	200.0	52035672.0	93.66	199.66	31509404.0	31252319.0	31211210.0	253689.0	29529.0	14976.0	0.16	0.01	1.5	0.0	1.21	2897248.0	5.22	107366.0	0.19	0.0	0.83	0.1	0	459954	55416
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC	35528359.0	199.0	33303997.0	93.74	199.56	20208220.0	20040425.0	20015083.0	163224.0	20229.0	9684.0	0.15	0.01	1.52	0.0	1.23	1841088.0	5.18	72681.0	0.2	0.0	0.78	0.09	0	278463	32130
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP	53096892.0	200.0	49972447.0	94.12	199.63	31520886.0	31277289.0	31215457.0	258377.0	31813.0	15239.0	0.15	0.01	1.49	0.0	1.21	2580951.0	4.86	102635.0	0.19	0.0	0.74	0.09	0	393055	47804
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP	54061427.0	200.0	51050167.0	94.43	199.75	32427186.0	32179658.0	32116760.0	262168.0	33125.0	15133.0	0.16	0.01	1.49	0.0	1.23	2438176.0	4.51	100918.0	0.19	0.0	0.79	0.09	0	423876	48290
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC	39336044.0	200.0	36945402.0	93.92	199.8	22450806.0	22261723.0	22234113.0	184391.0	22081.0	10221.0	0.15	0.01	1.49	0.0	1.21	1981457.0	5.04	84889.0	0.22	0.0	0.72	0.11	0	281317	42979
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP	35671261.0	200.0	33675287.0	94.4	199.8	21993364.0	21828197.0	21778425.0	181979.0	22606.0	10354.0	0.15	0.01	1.5	0.0	1.22	1657503.0	4.65	68204.0	0.19	0.0	0.68	0.08	0	241818	28449
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP	41900717.0	200.0	39492227.0	94.25	199.73	23615716.0	23419024.0	23390264.0	189945.0	23504.0	12003.0	0.15	0.01	1.49	0.0	1.21	1988135.0	4.74	76108.0	0.18	0.0	0.71	0.11	0	298068	46179
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC	45627647.0	200.0	42882731.0	93.98	199.73	25823196.0	25609046.0	25577150.0	208655.0	25081.0	12310.0	0.15	0.01	1.49	0.0	1.22	2267849.0	4.97	92955.0	0.2	0.0	0.74	0.1	0	338384	45728
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP	59449298.0	200.0	55984564.0	94.17	199.73	34972796.0	34692049.0	34635659.0	284631.0	35589.0	16917.0	0.16	0.01	1.47	0.0	1.23	2831225.0	4.76	115986.0	0.2	0.0	0.78	0.09	0	463986	53537
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP	52589176.0	200.0	49647735.0	94.41	199.73	30706652.0	30462416.0	30412739.0	247141.0	31472.0	15300.0	0.15	0.01	1.49	0.0	1.21	2389342.0	4.54	101662.0	0.19	0.0	0.75	0.11	0	392823	57614
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP	34727232.0	200.0	32765574.0	94.35	199.8	19506082.0	19344217.0	19317522.0	159227.0	19570.0	9763.0	0.16	0.01	1.48	0.0	1.2	1616209.0	4.65	63164.0	0.18	0.0	0.71	0.11	0	244418	37868
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC	29881685.0	200.0	28025464.0	93.79	199.7	16736107.0	16598880.0	16573673.0	138431.0	16332.0	7671.0	0.15	0.01	1.48	0.0	1.22	1549161.0	5.18	63123.0	0.21	0.0	0.71	0.11	0	211214	32723
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP	47185413.0	200.0	44497439.0	94.3	199.71	28126062.0	27909308.0	27854065.0	229190.0	28933.0	13874.0	0.14	0.01	1.5	0.0	1.22	2225741.0	4.72	88500.0	0.19	0.0	0.7	0.09	0	331156	42577
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP	30280063.0	200.0	28625324.0	94.54	199.73	17094217.0	16946371.0	16927998.0	140655.0	17173.0	8391.0	0.15	0.01	1.48	0.0	1.2	1354800.0	4.47	57010.0	0.19	0.0	0.69	0.11	0	209526	33403
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC	36289650.0	200.0	34017398.0	93.74	199.67	21046275.0	20875183.0	20839569.0	176375.0	20492.0	9839.0	0.15	0.01	1.5	0.0	1.22	1886773.0	5.2	77986.0	0.21	0.0	0.75	0.09	0	274547	32946
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP	28387249.0	200.0	26748696.0	94.23	199.77	17286385.0	17150515.0	17119172.0	141464.0	17354.0	8395.0	0.15	0.01	1.5	0.0	1.22	1357106.0	4.78	57214.0	0.2	0.0	0.7	0.09	0	198687	25546
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP	45587946.0	200.0	43004002.0	94.33	199.91	25935595.0	25728230.0	25686439.0	209779.0	26401.0	12976.0	0.15	0.01	1.48	0.0	1.21	2165543.0	4.75	80518.0	0.18	0.0	0.64	0.1	0	292223	45660
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC	29716853.0	200.0	27956685.0	94.08	199.87	17364990.0	17223648.0	17196838.0	143449.0	16336.0	8367.0	0.15	0.01	1.51	0.0	1.22	1463233.0	4.92	61913.0	0.21	0.0	0.7	0.09	0	208247	26775
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP	29248683.0	200.0	27609192.0	94.39	199.74	17634337.0	17498041.0	17463350.0	144617.0	17832.0	8538.0	0.15	0.01	1.48	0.0	1.21	1350208.0	4.62	57057.0	0.2	0.0	0.7	0.09	0	205770	26456
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP	34433795.0	200.0	32554551.0	94.54	199.74	19951623.0	19792166.0	19756969.0	164229.0	20587.0	9838.0	0.15	0.01	1.49	0.0	1.22	1535458.0	4.46	62784.0	0.18	0.0	0.72	0.1	0	246733	34269
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP	54014944.0	200.0	51037003.0	94.49	199.7	31234030.0	30977585.0	30937580.0	250345.0	30854.0	15251.0	0.14	0.01	1.49	0.0	1.21	2450113.0	4.54	103601.0	0.19	0.0	0.67	0.11	0	364400	59827
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC	31918132.0	200.0	29957877.0	93.86	199.73	18232966.0	18086179.0	18057563.0	148613.0	18028.0	8762.0	0.16	0.01	1.49	0.0	1.23	1615533.0	5.06	62758.0	0.2	0.0	0.79	0.1	0	250283	31681
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP	26914900.0	200.0	25359701.0	94.22	199.9	16441533.0	16315982.0	16280220.0	136373.0	17171.0	7769.0	0.15	0.01	1.49	0.0	1.2	1304932.0	4.85	51348.0	0.19	0.0	0.66	0.08	0	177414	21505
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP	25901721.0	200.0	24407958.0	94.23	199.6	15180881.0	15059519.0	15035805.0	122537.0	15279.0	7260.0	0.17	0.01	1.48	0.0	1.2	1216119.0	4.7	47970.0	0.19	0.0	0.79	0.09	0	206185	23489
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC	43336921.0	200.0	40797719.0	94.14	199.88	25130186.0	24923574.0	24887602.0	206019.0	24690.0	11875.0	0.16	0.01	1.49	0.0	1.21	2091441.0	4.83	91582.0	0.21	0.0	0.72	0.1	0	312743	43436
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP	28854426.0	200.0	27202381.0	94.27	199.74	17044440.0	16908285.0	16878543.0	140445.0	17187.0	8265.0	0.15	0.01	1.48	0.0	1.21	1366867.0	4.74	54419.0	0.19	0.0	0.71	0.09	0	204799	25960
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP	38201767.0	200.0	36149101.0	94.63	199.85	22977916.0	22798524.0	22756945.0	186217.0	23641.0	11113.0	0.15	0.01	1.49	0.0	1.21	1702726.0	4.46	72171.0	0.19	0.0	0.64	0.09	0	243524	34245
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC	25689402.0	200.0	24124292.0	93.91	199.78	14710796.0	14585631.0	14567976.0	121809.0	14173.0	6838.0	0.15	0.01	1.49	0.0	1.22	1290631.0	5.02	55575.0	0.22	0.0	0.75	0.11	0	190905	27999
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC	29242041.0	200.0	27478020.0	93.97	199.77	16870495.0	16731752.0	16709206.0	137100.0	16312.0	7877.0	0.15	0.01	1.51	0.0	1.22	1455733.0	4.98	60607.0	0.21	0.0	0.75	0.1	0	218542	29139
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP	37032426.0	200.0	34890544.0	94.22	199.75	21383861.0	21215078.0	21178332.0	173294.0	21863.0	10372.0	0.16	0.01	1.48	0.0	1.21	1767673.0	4.77	68828.0	0.19	0.0	0.73	0.1	0	268588	36793
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP	57466765.0	200.0	54262691.0	94.42	199.85	32853964.0	32585450.0	32534980.0	268616.0	34007.0	16361.0	0.15	0.01	1.48	0.0	1.21	2610200.0	4.54	102746.0	0.18	0.0	0.75	0.1	0	433348	57780
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC	35159214.0	200.0	33066178.0	94.05	199.83	20696187.0	20529028.0	20496855.0	169719.0	19903.0	9710.0	0.15	0.01	1.49	0.0	1.22	1721002.0	4.89	73893.0	0.21	0.0	0.76	0.09	0	266573	31568
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP	34971407.0	200.0	32904157.0	94.09	199.74	21326830.0	21168786.0	21120604.0	173788.0	22035.0	10403.0	0.16	0.01	1.48	0.0	1.21	1715954.0	4.91	65100.0	0.19	0.0	0.74	0.07	0	261463	24733
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP	29182418.0	200.0	27566177.0	94.46	199.81	17326664.0	17189462.0	17160020.0	140575.0	17789.0	8280.0	0.17	0.01	1.49	0.0	1.21	1306060.0	4.48	55994.0	0.19	0.0	0.78	0.1	0	225302	28885
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC	25609752.0	200.0	24130513.0	94.22	199.94	15010768.0	14889631.0	14864446.0	124328.0	15135.0	6859.0	0.14	0.01	1.48	0.0	1.22	1233173.0	4.82	52416.0	0.2	0.0	0.66	0.09	0	170412	23238
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP	40792569.0	200.0	38487709.0	94.35	199.85	24819772.0	24627014.0	24575654.0	206455.0	25849.0	11814.0	0.15	0.01	1.49	0.0	1.21	1899327.0	4.66	76552.0	0.19	0.0	0.73	0.08	0	296489	32492
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP	29226377.0	200.0	27624605.0	94.52	199.7	16753879.0	16612920.0	16591257.0	137655.0	17094.0	7873.0	0.15	0.01	1.48	0.0	1.2	1297539.0	4.44	53478.0	0.18	0.0	0.75	0.11	0	218682	32073
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP	27554895.0	200.0	26046518.0	94.53	199.88	16380182.0	16249583.0	16224984.0	131033.0	16240.0	7925.0	0.15	0.01	1.48	0.0	1.2	1241096.0	4.5	50308.0	0.18	0.0	0.69	0.1	0	189508	27465
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC	35052471.0	200.0	32922024.0	93.92	199.78	20270263.0	20112240.0	20077741.0	164455.0	19241.0	8826.0	0.15	0.01	1.48	0.0	1.21	1766750.0	5.04	69555.0	0.2	0.0	0.74	0.09	0	262247	31895
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP	25076532.0	200.0	23618465.0	94.19	199.82	15121508.0	15007198.0	14974825.0	124129.0	15672.0	6882.0	0.15	0.01	1.48	0.0	1.21	1202237.0	4.79	47307.0	0.19	0.0	0.75	0.08	0	188424	20099
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP	21312572.0	200.0	20069265.0	94.17	199.85	12364586.0	12266425.0	12247256.0	98709.0	12155.0	6466.0	0.16	0.01	1.48	0.0	1.21	1022235.0	4.8	39968.0	0.19	0.0	0.75	0.1	0	159798	21306
