"ensembl_gene_id","description","external_gene_name","chromosome_name","gene_biotype"
"ENSMUSG00000051951","X-linked Kx blood group related 4 [Source:MGI Symbol;Acc:MGI:3528744]","Xkr4","1","protein_coding"
"ENSMUSG00000025902","SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]","Sox17","1","protein_coding"
"ENSMUSG00000033845","mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]","Mrpl15","1","protein_coding"
"ENSMUSG00000025903","lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]","Lypla1","1","protein_coding"
"ENSMUSG00000033813","transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]","Tcea1","1","protein_coding"
"ENSMUSG00000002459","regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]","Rgs20","1","protein_coding"
"ENSMUSG00000033793","ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]","Atp6v1h","1","protein_coding"
"ENSMUSG00000025905","opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]","Oprk1","1","protein_coding"
"ENSMUSG00000033774","neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989]","Npbwr1","1","protein_coding"
"ENSMUSG00000025907","RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]","Rb1cc1","1","protein_coding"
"ENSMUSG00000033740","suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]","St18","1","protein_coding"
"ENSMUSG00000051285","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]","Pcmtd1","1","protein_coding"
"ENSMUSG00000025909","syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]","Sntg1","1","protein_coding"
"ENSMUSG00000061024","ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]","Rrs1","1","protein_coding"
"ENSMUSG00000025911","alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]","Adhfe1","1","protein_coding"
"ENSMUSG00000067879","vexin [Source:MGI Symbol;Acc:MGI:1924232]","Vxn","1","protein_coding"
"ENSMUSG00000025912","myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]","Mybl1","1","protein_coding"
"ENSMUSG00000045210","valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]","Vcpip1","1","protein_coding"
"ENSMUSG00000025915","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]","Sgk3","1","protein_coding"
"ENSMUSG00000046101","minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]","Mcmdc2","1","protein_coding"
"ENSMUSG00000025916","protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]","Ppp1r42","1","protein_coding"
"ENSMUSG00000025917","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]","Cops5","1","protein_coding"
"ENSMUSG00000056763","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]","Cspp1","1","protein_coding"
"ENSMUSG00000067851","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]","Arfgef1","1","protein_coding"
"ENSMUSG00000048960","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]","Prex2","1","protein_coding"
"ENSMUSG00000057715","RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149]","A830018L16Rik","1","protein_coding"
"ENSMUSG00000016918","sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]","Sulf1","1","protein_coding"
"ENSMUSG00000025938","solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]","Slco5a1","1","protein_coding"
